[2025-07-25 15:38:20,127: INFO: main: First Logging is set up successfully.]
[2025-08-07 11:19:04,062: INFO: main: First Logging is set up successfully.]
[2025-08-07 11:20:03,364: INFO: main: First Logging is set up successfully.]
[2025-08-07 11:29:32,982: INFO: main: First Logging is set up successfully.]
[2025-08-07 11:58:36,676: INFO: common: YAML file config\config.yaml loaded successfully]
[2025-08-07 11:58:36,683: INFO: common: YAML file params.yaml loaded successfully]
[2025-08-07 11:58:36,686: INFO: common: created directory at: artifacts]
[2025-08-07 11:58:36,689: INFO: common: created directory at: artifiacts/data_ingestion]
[2025-08-07 14:06:04,979: INFO: main: First Logging is set up successfully.]
[2025-08-07 14:24:28,770: INFO: common: YAML file config\config.yaml loaded successfully]
[2025-08-07 14:24:28,777: INFO: common: YAML file params.yaml loaded successfully]
[2025-08-07 14:24:28,779: INFO: common: created directory at: artifacts]
[2025-08-07 14:24:28,781: INFO: common: created directory at: artifiacts/data_ingestion]
[2025-08-07 14:25:53,474: INFO: common: YAML file config\config.yaml loaded successfully]
[2025-08-07 14:25:53,479: INFO: common: YAML file params.yaml loaded successfully]
[2025-08-07 14:25:53,481: INFO: common: created directory at: artifacts]
[2025-08-07 14:25:53,483: INFO: common: created directory at: artifiacts/data_ingestion]
[2025-08-07 14:31:51,511: INFO: common: YAML file config\config.yaml loaded successfully]
[2025-08-07 14:31:51,516: INFO: common: YAML file params.yaml loaded successfully]
[2025-08-07 14:31:51,519: INFO: common: created directory at: artifacts]
[2025-08-07 14:31:51,521: INFO: common: created directory at: artifiacts/data_ingestion]
